id,path,width,height,displayWidth,displayHeight,anchor,layer,input,output,slots,clip,hitArea,nineSlice
"machine_ship_head","assets/art/machines/machine_ship_head.png","159","256","79.5","128","{""x"":79.5,""y"":256}","20","null","null","[]","null","null",""
"machine_ship_front","assets/art/machines/machine_ship_front.png","384","222","192","111","{""x"":192,""y"":222}","50","null","null","[]","null","null",""
"conveyor_transfer_back","assets/art/scene/conveyor_transfer_back.png","512","227","256","113.5","{""x"":256,""y"":227}","10","[92,152]","[425,154]","[]","[[28,134],[212,34],[257,14],[306,39],[484,134],[423,190],[260,104],[91,190]]","{""polygon"":[[24,134],[235,12],[482,128],[420,230],[267,132],[92,229]],""coordinateSpace"":""assembly pixels"",""minimumLogicalSize"":[44,44]}",""
"conveyor_transfer_front","assets/art/scene/conveyor_transfer_front.png","384","121","192","60.5","{""x"":192,""y"":121}","50","null","null","[]","null","null",""
"conveyor_infeed_back","assets/art/scene/conveyor_infeed_back.png","512","383","256","191.5","{""x"":256,""y"":383}","10","[125,104]","[446,277]","[]","[[48,76],[117,32],[477,228],[421,286],[89,145]]","{""polygon"":[[17,69],[119,8],[503,268],[419,380],[83,234]],""coordinateSpace"":""assembly pixels"",""minimumLogicalSize"":[44,44]}",""
"conveyor_infeed_front","assets/art/scene/conveyor_infeed_front.png","384","218","192","109","{""x"":192,""y"":218}","50","null","null","[]","null","null",""
"conveyor_outfeed_back","assets/art/scene/conveyor_outfeed_back.png","512","332","256","166","{""x"":256,""y"":332}","10","[439,65]","[75,252]","[]","[[51,210],[407,29],[483,69],[135,261]]","{""polygon"":[[13,231],[393,8],[504,78],[500,158],[177,331]],""coordinateSpace"":""assembly pixels"",""minimumLogicalSize"":[44,44]}",""
"conveyor_outfeed_front","assets/art/scene/conveyor_outfeed_front.png","384","211","192","105.5","{""x"":192,""y"":211}","50","null","null","[]","null","null",""
"buffer_cups_back","assets/art/scene/buffer_cups_back.png","512","349","256","174.5","{""x"":256,""y"":349}","10","[115,239]","[397,239]","[[223,60,65,80],[147,110,65,80],[298,110,65,80],[223,160,65,80],[132,172,65,80],[317,172,65,80]]","[[27,70],[250,-55],[485,70],[485,220],[254,339],[27,220]]","{""polygon"":[[2,153],[256,3],[511,154],[511,218],[253,369],[4,218]],""coordinateSpace"":""assembly pixels"",""minimumLogicalSize"":[44,44]}",""
"buffer_cups_front","assets/art/scene/buffer_cups_front.png","384","256","192","128","{""x"":192,""y"":256}","50","null","null","[]","null","null",""
"ui_icon_coin","assets/art/ui/ui_icon_coin.png","96","96","32","32","{""x"":0,""y"":0}","100","null","null","[]","null","{""minimumLogicalSize"":[44,44],""note"":""Icons display at 24-32 px inside an independent 44 px touch region.""}",""
"ui_icon_ship_speed","assets/art/ui/ui_icon_ship_speed.png","96","96","32","32","{""x"":0,""y"":0}","100","null","null","[]","null","{""minimumLogicalSize"":[44,44],""note"":""Icons display at 24-32 px inside an independent 44 px touch region.""}",""
"ui_icon_pop","assets/art/ui/ui_icon_pop.png","96","96","32","32","{""x"":0,""y"":0}","100","null","null","[]","null","{""minimumLogicalSize"":[44,44],""note"":""Icons display at 24-32 px inside an independent 44 px touch region.""}",""
"ui_icon_cup","assets/art/ui/ui_icon_cup.png","96","96","32","32","{""x"":0,""y"":0}","100","null","null","[]","null","{""minimumLogicalSize"":[44,44],""note"":""Icons display at 24-32 px inside an independent 44 px touch region.""}",""
"ui_icon_ship","assets/art/ui/ui_icon_ship.png","96","96","32","32","{""x"":0,""y"":0}","100","null","null","[]","null","{""minimumLogicalSize"":[44,44],""note"":""Icons display at 24-32 px inside an independent 44 px touch region.""}",""
"ui_icon_settings","assets/art/ui/ui_icon_settings.png","96","96","32","32","{""x"":0,""y"":0}","100","null","null","[]","null","{""minimumLogicalSize"":[44,44],""note"":""Icons display at 24-32 px inside an independent 44 px touch region.""}",""
"ui_icon_sound","assets/art/ui/ui_icon_sound.png","96","96","32","32","{""x"":0,""y"":0}","100","null","null","[]","null","{""minimumLogicalSize"":[44,44],""note"":""Icons display at 24-32 px inside an independent 44 px touch region.""}",""
"ui_icon_vibration","assets/art/ui/ui_icon_vibration.png","96","96","32","32","{""x"":0,""y"":0}","100","null","null","[]","null","{""minimumLogicalSize"":[44,44],""note"":""Icons display at 24-32 px inside an independent 44 px touch region.""}",""
"ui_icon_close","assets/art/ui/ui_icon_close.png","96","96","32","32","{""x"":0,""y"":0}","100","null","null","[]","null","{""minimumLogicalSize"":[44,44],""note"":""Icons display at 24-32 px inside an independent 44 px touch region.""}",""
"ui_icon_arrow","assets/art/ui/ui_icon_arrow.png","96","96","32","32","{""x"":0,""y"":0}","100","null","null","[]","null","{""minimumLogicalSize"":[44,44],""note"":""Icons display at 24-32 px inside an independent 44 px touch region.""}",""
"ui_icon_upgrade","assets/art/ui/ui_icon_upgrade.png","96","96","32","32","{""x"":0,""y"":0}","100","null","null","[]","null","{""minimumLogicalSize"":[44,44],""note"":""Icons display at 24-32 px inside an independent 44 px touch region.""}",""
"ui_icon_expand","assets/art/ui/ui_icon_expand.png","96","96","32","32","{""x"":0,""y"":0}","100","null","null","[]","null","{""minimumLogicalSize"":[44,44],""note"":""Icons display at 24-32 px inside an independent 44 px touch region.""}",""
"ui_icon_check","assets/art/ui/ui_icon_check.png","96","96","32","32","{""x"":0,""y"":0}","100","null","null","[]","null","{""minimumLogicalSize"":[44,44],""note"":""Icons display at 24-32 px inside an independent 44 px touch region.""}",""
"ui_icon_lock","assets/art/ui/ui_icon_lock.png","96","96","32","32","{""x"":0,""y"":0}","100","null","null","[]","null","{""minimumLogicalSize"":[44,44],""note"":""Icons display at 24-32 px inside an independent 44 px touch region.""}",""
"ui_icon_warning","assets/art/ui/ui_icon_warning.png","96","96","32","32","{""x"":0,""y"":0}","100","null","null","[]","null","{""minimumLogicalSize"":[44,44],""note"":""Icons display at 24-32 px inside an independent 44 px touch region.""}",""
"ui_icon_wait","assets/art/ui/ui_icon_wait.png","96","96","32","32","{""x"":0,""y"":0}","100","null","null","[]","null","{""minimumLogicalSize"":[44,44],""note"":""Icons display at 24-32 px inside an independent 44 px touch region.""}",""
